tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
1.842454,5.547989,6.138119,6.873124,4.069645,-1.249159,-1.911207,-0.909279,0.917015,0.159698,0.9935,0.660718,0.04599403,unstable
5.897056,2.289018,6.267519,4.437903,1.972836,-0.710291,-0.594817,-0.667727,0.995189,0.069149,0.714074,0.875769,0.07943493,unstable
5.934847,4.743934,4.37647,6.141301,3.51707,-0.645302,-0.904345,-1.967423,0.395408,0.210181,0.323661,0.61813,0.02106238,unstable
2.286998,4.385142,2.830232,5.29388,3.035814,-1.202764,-0.902011,-0.931039,0.924216,0.130186,0.703887,0.063811,-0.01565524,stable
8.535212,4.730858,7.238992,5.965363,4.619286,-1.60345,-1.60406,-1.411776,0.958417,0.687694,0.509687,0.573018,0.07899247,unstable
9.996678,4.841367,1.244647,4.890366,2.95172,-1.066584,-0.910881,-0.974256,0.747623,0.779883,0.647331,0.514419,0.01588199,unstable
1.768565,8.297127,4.472033,5.919825,3.610314,-1.516043,-1.574737,-0.519534,0.237366,0.501628,0.423869,0.951229,0.04020775,unstable
6.390668,8.023296,4.871072,6.048223,2.858013,-1.278945,-0.830803,-0.748265,0.815159,0.227266,0.566078,0.721022,0.06848277,unstable
9.551851,4.379315,5.848119,7.178818,4.576785,-1.117984,-1.712674,-1.746127,0.504537,0.20244,0.173471,0.363656,0.007907217,unstable
9.214834,1.847108,8.797664,8.409833,4.66529,-1.085883,-1.966777,-1.61263,0.894354,0.153613,0.740478,0.60759,0.06655017,unstable
5.979015,7.174424,2.164228,3.978603,3.642521,-1.773446,-0.569999,-1.299076,0.60301,0.511733,0.166364,0.90376,0.04367029,unstable
3.811121,3.790184,7.469543,4.502544,2.272156,-0.985788,-0.590208,-0.696161,0.414007,0.333379,0.972584,0.0585,0.02523782,unstable
1.419499,9.910036,2.747817,8.893051,2.713157,-1.011132,-1.117067,-0.584957,0.789968,0.796693,0.88219,0.572793,0.003099312,unstable
8.769713,9.10561,9.888411,8.600302,4.130811,-1.921803,-0.731408,-1.477599,0.531942,0.399594,0.252483,0.988954,0.06604782,unstable
2.979179,5.779431,1.003467,8.687741,3.6079,-1.935628,-0.788466,-0.883806,0.743654,0.343531,0.47412,0.855283,0.005258701,unstable
1.848395,6.391817,7.948541,6.186511,3.665626,-1.414145,-1.310455,-0.941026,0.44037,0.731984,0.191629,0.306505,0.007303837,unstable
2.372823,5.735181,0.589158,1.264767,3.939146,-1.331038,-1.81942,-0.788688,0.962461,0.168114,0.575697,0.730255,-0.006932237,stable
7.296672,7.90655,8.009356,7.748208,4.418198,-1.438238,-1.661513,-1.318447,0.100135,0.994242,0.819492,0.469814,0.07500633,unstable
1.623529,2.413083,9.210987,2.822758,3.093469,-0.732654,-0.593951,-1.766864,0.137887,0.122534,0.215337,0.328353,-0.03888281,stable
2.689668,9.206214,3.368294,2.735507,3.426671,-1.196425,-0.874684,-1.355562,0.546719,0.959201,0.1024,0.601124,0.002949522,unstable
9.40499,7.916158,3.643635,4.17839,4.604789,-1.864618,-0.762116,-1.978054,0.512214,0.704442,0.395828,0.728402,0.04655805,unstable
8.032,6.85001,9.450497,8.852437,3.992677,-1.311157,-1.477211,-1.204309,0.818029,0.510977,0.210599,0.933637,0.07603569,unstable
4.355567,6.613126,3.785875,8.249147,3.71496,-0.653519,-1.815557,-1.245883,0.499066,0.497817,0.681687,0.746874,0.05598407,unstable
2.088449,4.947226,2.719235,4.384083,4.114339,-0.873725,-1.981429,-1.259185,0.439602,0.482802,0.961434,0.635004,0.04201884,unstable
3.224957,5.302875,9.058927,3.227496,3.687208,-1.087391,-0.680365,-1.919453,0.2974,0.40265,0.183012,0.127924,-0.0431768,stable
2.705492,9.848473,1.673518,6.408224,3.7806,-1.002157,-1.990369,-0.788075,0.911081,0.253133,0.190368,0.325511,-0.04368417,stable
3.799922,8.260361,9.992073,8.09956,3.43975,-1.73204,-0.906395,-0.801315,0.304935,0.411023,0.387039,0.358264,0.02089415,unstable
0.61517,1.946848,3.811661,6.94475,4.115997,-1.014799,-1.672709,-1.428489,0.363591,0.136974,0.896053,0.089364,-0.04486793,stable
9.838843,2.988721,4.742429,3.364569,2.933229,-1.008739,-1.320095,-0.604395,0.878983,0.161202,0.350805,0.686409,0.01579135,unstable
6.602239,4.959001,5.398253,2.483528,2.830949,-0.502264,-0.566909,-1.761776,0.174344,0.436361,0.763001,0.195688,0.01279441,unstable
6.533863,1.839318,7.660942,2.515341,1.853037,-0.582815,-0.604492,-0.66573,0.18235,0.952348,0.672702,0.436305,-0.01742575,stable
6.389978,9.134027,5.513178,2.788743,2.840456,-0.555447,-1.074197,-1.210812,0.469269,0.461799,0.31603,0.328799,0.01247495,unstable
4.926447,4.677423,6.097823,0.812804,3.857886,-1.205844,-1.25415,-1.397891,0.728084,0.68348,0.665723,0.35311,0.04738686,unstable
5.859658,9.516215,4.811334,0.672124,2.734525,-0.944841,-1.229318,-0.560366,0.370917,0.057923,0.893596,0.241429,-0.01015153,stable
2.743355,2.678818,4.015723,4.862076,3.877062,-0.944689,-1.152945,-1.779428,0.579915,0.274614,0.953713,0.130054,0.01144149,unstable
0.607787,9.74658,4.058494,7.221921,3.353214,-0.610404,-0.792482,-1.950327,0.374562,0.643402,0.879164,0.844511,0.03888628,unstable
2.61287,7.562221,6.004268,2.249088,2.867152,-0.608592,-1.186032,-1.072528,0.361243,0.173964,0.863402,0.817195,0.01225688,unstable
6.107776,8.702951,0.600885,8.220017,3.987102,-1.381166,-1.451194,-1.154742,0.885184,0.795511,0.758266,0.625949,0.04470916,unstable
1.852993,7.189834,1.065778,1.59608,4.221153,-1.876776,-1.361499,-0.982879,0.345604,0.213498,0.644539,0.87787,-0.06151607,stable
1.907165,8.359898,1.206584,1.475072,4.154698,-0.796783,-1.369516,-1.988399,0.757193,0.518605,0.555074,0.88129,-0.05569212,stable
0.770514,8.603686,2.959955,4.155879,4.850699,-1.247056,-1.722904,-1.880739,0.14025,0.613403,0.8129,0.145931,-0.02143632,stable
9.134034,1.253331,8.711773,5.877146,4.584456,-1.282602,-1.372524,-1.92933,0.98297,0.90939,0.911433,0.545015,0.05160764,unstable
3.552887,6.596067,2.614976,3.444442,3.828445,-1.887136,-1.011399,-0.92991,0.368826,0.998255,0.644739,0.170246,0.02904957,unstable
6.711245,3.991343,9.850194,8.070419,3.152559,-0.773641,-1.581898,-0.79702,0.862416,0.984192,0.415248,0.61654,0.0736178,unstable
4.597453,2.176417,6.222714,5.832744,4.58455,-1.844153,-0.785855,-1.954542,0.206415,0.966932,0.698762,0.245713,0.0126713,unstable
3.595423,2.410315,8.757113,9.261173,2.698003,-1.293386,-0.747389,-0.657228,0.631837,0.601635,0.674372,0.65653,0.0326796,unstable
9.341681,4.029359,4.844204,0.919506,4.497803,-1.848703,-1.403478,-1.245622,0.817375,0.799491,0.349765,0.575768,0.005520642,unstable
2.219777,3.18671,1.846465,4.045802,3.947182,-1.496854,-1.423119,-1.027209,0.321135,0.798415,0.737386,0.158218,-0.01932227,stable
1.951363,1.932737,2.766106,3.550545,3.652158,-1.655809,-0.889826,-1.106524,0.585443,0.662409,0.69565,0.217509,-0.01505066,stable
2.716384,9.140381,4.665366,8.809435,3.808715,-1.162961,-1.771279,-0.874475,0.864486,0.96569,0.300929,0.474689,0.04079803,unstable
7.049174,2.817623,6.303974,2.276191,4.597087,-1.70091,-1.795755,-1.100422,0.695647,0.519548,0.578559,0.196284,0.0261898,unstable
0.677271,0.64848,3.87935,3.218109,3.671619,-0.631002,-1.151944,-1.888673,0.315739,0.641818,0.170784,0.089994,-0.05298824,stable
9.147909,4.037133,0.731065,5.633416,4.15944,-1.140797,-1.276604,-1.742039,0.108639,0.889319,0.173514,0.092276,-0.03950344,stable
2.69652,1.644437,5.452716,0.746489,2.874535,-1.055253,-0.539838,-1.279444,0.114187,0.401737,0.746696,0.585183,-0.05515784,stable
7.463426,6.177211,1.750336,1.986298,3.226637,-0.744165,-1.115322,-1.36715,0.06794,0.189521,0.093926,0.560826,-0.03634986,stable
8.331964,4.448107,0.979846,2.511783,3.822164,-0.753653,-1.85701,-1.211501,0.776572,0.458265,0.567292,0.052161,-0.01531202,stable
8.509238,3.920885,3.825574,0.8007,3.73776,-1.013702,-1.002558,-1.7215,0.970915,0.900317,0.390291,0.271762,0.02886208,unstable
9.76807,4.479498,3.771622,5.320862,2.326089,-1.102648,-0.60046,-0.622981,0.117811,0.106784,0.592584,0.05882,-0.04713869,stable
3.580201,3.614467,5.28323,7.500816,4.051934,-1.477789,-0.589428,-1.984716,0.600728,0.604003,0.485504,0.921673,0.06142159,unstable
6.339918,1.082533,4.987388,9.061881,3.668751,-1.845173,-1.241428,-0.582149,0.562363,0.779558,0.267986,0.119446,-0.04072608,stable
7.435342,1.569402,5.736002,2.847075,3.147955,-0.509829,-1.689716,-0.94841,0.994498,0.069671,0.729936,0.915927,0.05628068,unstable
7.501941,3.381421,3.658967,1.31633,4.021489,-1.30034,-1.190181,-1.530968,0.367312,0.507576,0.40282,0.634665,-0.03957943,stable
1.51267,2.563143,2.2589,9.149628,3.695999,-0.734857,-1.924359,-1.036782,0.726931,0.148709,0.32866,0.792392,-0.01242865,stable
8.920034,3.713652,4.985267,1.833683,2.932067,-0.634127,-0.561972,-1.735967,0.229871,0.385938,0.158663,0.224944,-0.04009643,stable
2.047078,8.193479,9.602954,9.262251,3.551578,-0.669944,-1.653664,-1.22797,0.862786,0.910093,0.596016,0.481347,0.04711771,unstable
3.783991,2.12336,0.561618,6.481342,4.216664,-1.120745,-1.119174,-1.976745,0.295335,0.384226,0.535711,0.760425,-0.02278883,stable
2.239784,2.2534,4.228535,3.293772,3.913262,-1.398864,-1.218144,-1.296253,0.271868,0.08447,0.943994,0.554816,0.006205749,unstable
0.543852,2.091633,4.366619,3.669275,4.111202,-1.507573,-0.784667,-1.818962,0.280255,0.844983,0.220803,0.575318,-0.02183304,stable
9.318171,6.527593,9.144144,2.302505,4.953749,-1.175776,-1.989881,-1.788093,0.517959,0.417192,0.92392,0.059576,0.05069518,unstable
6.455561,2.513409,9.733436,8.460153,3.777055,-1.236309,-1.096378,-1.444368,0.346529,0.742086,0.34983,0.753271,0.02904971,unstable
3.351634,2.610502,5.49218,7.033747,4.092951,-1.225357,-0.921579,-1.946015,0.858694,0.499934,0.300337,0.316387,0.00881729,unstable
9.510291,7.441707,8.057387,3.310423,5.616411,-1.995751,-1.952535,-1.668125,0.976911,0.420371,0.1821,0.394629,0.04231663,unstable
2.109832,1.332141,0.697644,6.526025,3.365483,-1.792181,-0.685394,-0.887909,0.980125,0.603935,0.737246,0.178678,-0.03520105,stable
3.446367,7.965924,1.370692,6.931671,3.130818,-0.676408,-1.487074,-0.967336,0.804955,0.599681,0.436928,0.726799,0.03499503,unstable
1.364036,8.818448,3.264864,1.721809,2.466946,-0.50143,-0.808915,-1.156601,0.387206,0.929171,0.635153,0.907371,-0.02089048,stable
8.448878,1.556453,7.877048,2.867484,4.76705,-1.706308,-1.540139,-1.520603,0.615509,0.804037,0.530075,0.520467,0.001728182,unstable
6.251263,4.494749,6.075397,6.985037,2.778662,-0.89043,-1.113842,-0.77439,0.244852,0.061514,0.144328,0.447394,-0.02369956,stable
3.56388,2.565004,9.547139,5.805675,4.319242,-0.667741,-1.717523,-1.933977,0.238573,0.154469,0.188585,0.559406,-0.03056611,stable
0.686513,7.282327,4.554225,5.653023,3.110585,-0.592972,-1.427508,-1.090106,0.85716,0.778222,0.258568,0.12398,-0.02925175,stable
4.185207,2.066731,5.593982,6.025397,2.648322,-1.290894,-0.836905,-0.520523,0.531347,0.54611,0.897679,0.283481,0.03923845,unstable
6.835846,8.366104,4.979205,6.924232,2.683789,-0.716964,-1.179217,-0.787608,0.337516,0.214563,0.898658,0.579977,0.05140147,unstable
9.647302,1.575401,8.585532,3.41739,3.430211,-1.41732,-1.126704,-0.886187,0.905596,0.778611,0.379248,0.173132,0.008781059,unstable
2.646003,4.64721,3.271168,4.805914,4.968584,-1.064487,-1.912871,-1.991226,0.397594,0.985368,0.067576,0.118426,-0.006000417,stable
5.638481,6.045473,6.883298,4.519554,4.340764,-0.923921,-1.64066,-1.776183,0.9895,0.255992,0.403959,0.069615,0.03734323,unstable
4.56466,7.850585,0.8567,8.173837,2.546748,-0.606129,-0.616607,-1.324011,0.224449,0.942553,0.857628,0.370748,0.006846346,unstable
2.785538,7.055268,5.661161,5.817528,4.641683,-1.537321,-1.809065,-1.295297,0.18525,0.663805,0.875157,0.262646,0.04711323,unstable
6.053512,1.594546,3.564582,8.47005,4.700364,-1.796098,-1.793157,-1.11111,0.971508,0.95548,0.476815,0.429449,0.02767036,unstable
1.436089,8.862108,6.283315,9.246202,3.094001,-1.334839,-0.964523,-0.794639,0.395613,0.076407,0.500477,0.679908,0.00687688,unstable
7.334754,9.297378,6.547098,9.320443,4.005015,-1.686372,-0.995838,-1.322806,0.447377,0.263457,0.859419,0.485002,0.05758404,unstable
6.121627,0.887534,5.043705,0.528409,4.358929,-1.94606,-1.855179,-0.557691,0.228041,0.726912,0.219499,0.132566,-0.04897992,stable
8.396269,8.660746,2.178458,2.963568,4.713401,-1.432445,-1.431356,-1.8496,0.970997,0.917364,0.66157,0.944067,0.05422052,unstable
0.902738,7.545855,4.409065,3.068657,3.800861,-0.909662,-1.385281,-1.505919,0.474555,0.284676,0.699143,0.286564,-0.02531293,stable
1.028765,1.886648,0.917781,4.68977,2.509879,-1.137055,-0.509713,-0.863111,0.887992,0.128821,0.121213,0.230607,-0.03075623,stable
7.539281,5.800376,5.256451,5.687108,3.950134,-1.554704,-1.346005,-1.049425,0.143159,0.591972,0.195637,0.937006,0.04560334,unstable
2.638702,6.929765,3.703363,7.162528,3.852485,-1.55296,-1.456538,-0.842987,0.384568,0.949214,0.301065,0.426043,0.03806542,unstable
9.932891,4.17652,8.326303,9.768941,4.259518,-1.337125,-1.609539,-1.312853,0.580154,0.363851,0.703709,0.49337,0.05503198,unstable
0.976868,1.684345,4.707813,8.699269,2.995787,-0.670218,-1.160088,-1.165481,0.116198,0.106948,0.371025,0.898961,0.005187102,unstable
3.732535,8.629879,4.463226,1.318006,3.421951,-0.938752,-0.603317,-1.879882,0.434246,0.275947,0.901072,0.142515,-4.295208e-05,stable
1.923556,9.186343,1.590862,9.083937,2.236604,-0.654613,-0.523658,-1.058332,0.990044,0.913733,0.545572,0.995311,0.02751122,unstable
1.143963,8.540333,1.420939,3.145867,3.409568,-1.549548,-0.593848,-1.266172,0.052651,0.772707,0.454954,0.825055,-0.01582742,stable
1.808497,3.918125,0.854966,0.730253,3.750267,-1.180837,-1.718438,-0.850993,0.875494,0.673103,0.695434,0.511199,-0.04563308,stable
6.077112,1.511925,5.037935,5.760015,2.631612,-1.178346,-0.520434,-0.932833,0.465208,0.098827,0.549837,0.676693,0.0334562,unstable
5.827276,0.579383,1.323586,3.96463,3.129196,-0.521201,-1.783104,-0.824891,0.058346,0.313508,0.646053,0.593581,-0.04955994,stable
5.956635,7.159782,0.534627,1.747745,3.805263,-0.724087,-1.962231,-1.118945,0.098058,0.973171,0.297024,0.552491,-0.01548449,stable
8.358287,1.979321,3.636278,1.186038,2.908317,-1.091764,-1.05837,-0.758182,0.702077,0.858207,0.693192,0.92562,-0.04035498,stable
8.754368,2.822263,2.978747,4.246674,3.78132,-1.397402,-1.54329,-0.840629,0.345464,0.68204,0.329777,0.131876,-0.04171119,stable
5.086845,5.599524,7.432697,6.521106,4.462289,-1.247329,-1.501964,-1.712997,0.889614,0.47427,0.72079,0.610416,0.08353885,unstable
9.589274,2.731437,4.089287,4.699489,4.877255,-1.447711,-1.573318,-1.856226,0.771501,0.497891,0.620446,0.776019,0.03918115,unstable
0.871811,3.533579,2.828196,4.241215,3.664476,-0.73621,-0.979164,-1.949102,0.525451,0.817981,0.696817,0.493626,0.02314119,unstable
9.409216,5.112204,7.880029,2.919024,3.34137,-1.974835,-0.856184,-0.510351,0.866332,0.695692,0.333405,0.778703,0.04817063,unstable
2.823487,9.63861,7.806735,8.073708,3.484722,-0.616887,-1.252439,-1.615396,0.695909,0.167666,0.678746,0.822526,0.04702867,unstable
8.567443,3.302411,2.081398,1.189086,4.734277,-1.319637,-1.769148,-1.645492,0.059035,0.369076,0.230781,0.293969,-0.04875406,stable
1.147519,5.090392,7.423143,0.637103,4.446921,-1.559872,-1.667167,-1.219882,0.89798,0.408027,0.594645,0.294983,-0.02183667,stable
4.530315,5.557582,7.821524,3.918735,3.534039,-1.580235,-1.223221,-0.730583,0.152634,0.155605,0.242739,0.561652,-0.03279576,stable
5.050888,7.716767,0.687845,2.605216,3.235894,-1.043342,-0.964965,-1.227587,0.487892,0.966826,0.638772,0.60577,0.009434423,unstable
9.758203,1.339621,4.454435,2.577211,4.649422,-1.944557,-1.288523,-1.416342,0.808248,0.129978,0.8593,0.052432,0.01317061,unstable
9.979746,4.457725,7.175592,2.921335,3.013723,-0.65588,-1.528084,-0.829759,0.698057,0.652475,0.138674,0.778614,0.01518516,unstable
9.651002,2.674249,0.770655,7.789909,4.653734,-1.940382,-1.281288,-1.432065,0.113878,0.786158,0.466938,0.072541,-0.02512992,stable
2.042954,8.514335,8.173809,5.466635,3.783797,-1.639912,-0.662469,-1.481417,0.154129,0.944486,0.053225,0.499109,0.02631147,unstable
0.946617,6.20961,4.63002,0.726988,2.751546,-0.937624,-1.018807,-0.795115,0.709346,0.447562,0.370426,0.681589,-0.04144443,stable
1.543106,2.261423,3.847972,5.679324,1.911773,-0.747861,-0.520798,-0.643114,0.456309,0.51739,0.692219,0.531,0.004642761,unstable
2.343442,2.274159,4.302525,7.673325,2.380374,-0.685034,-1.132826,-0.562514,0.502619,0.269203,0.761539,0.706062,0.01869074,unstable
4.384309,4.042862,7.64,8.117154,2.287709,-0.609164,-0.534839,-1.143706,0.544127,0.684541,0.361666,0.64006,0.04749112,unstable
3.196221,5.129571,5.246637,1.5779,4.767717,-1.10775,-1.830857,-1.82911,0.636142,0.727234,0.703492,0.835332,0.05233482,unstable
7.087691,9.536985,4.82667,8.346484,4.184518,-0.794083,-1.770745,-1.61969,0.878522,0.073298,0.235712,0.385639,0.03225615,unstable
2.621148,9.211917,5.63453,8.272888,5.507199,-1.847924,-1.775806,-1.883468,0.265934,0.462955,0.275873,0.383458,0.007151609,unstable
5.773102,3.457207,7.928875,7.935898,3.45756,-0.826796,-1.587316,-1.043448,0.642291,0.571416,0.379813,0.52299,0.04527169,unstable
7.555575,7.552951,5.654638,5.84997,3.499821,-1.102813,-0.823807,-1.573201,0.066624,0.629636,0.182544,0.993692,0.04744681,unstable
7.745244,4.311693,7.893386,0.917804,3.457962,-1.425012,-1.291345,-0.741605,0.576198,0.851929,0.172012,0.788637,-0.004614272,stable
2.85132,7.502196,5.14581,3.376641,3.012245,-1.09962,-0.729404,-1.183221,0.341208,0.486117,0.419202,0.479883,0.005625602,unstable
0.631811,3.711468,3.457477,2.715392,3.895203,-0.825606,-1.179467,-1.890129,0.961151,0.635932,0.456391,0.664559,-0.005867404,stable
4.609178,2.389374,4.374066,8.349164,4.205645,-0.817685,-1.732653,-1.655307,0.44079,0.605556,0.67955,0.68399,0.03363496,unstable
5.961151,5.545509,7.160739,1.580476,4.13019,-1.532649,-1.959005,-0.638536,0.573148,0.883052,0.229001,0.994647,0.03453203,unstable
